clusters,seconds
1,0.210657835007
6,1.69542908669
11,2.67140102386
16,4.429708004
21,5.66879105568
26,5.64986205101
31,7.71901583672
36,8.19284796715
41,9.36120605469
46,12.2558839321
51,14.5452690125
56,15.2038881779
61,21.7351510525
66,21.2554719448
71,17.527089119
76,19.8046700954
81,23.5481960773
86,24.1957771778
91,22.8913300037
96,24.8197038174
101,27.9972410202
106,31.7592079639
111,28.2124359608
116,33.5191440582
121,30.1984500885
126,34.3717358112
131,36.7773721218
136,36.5742218494
141,37.101323843
146,39.0422139168
151,43.864274025
156,39.0814278126
161,46.7803359032
166,47.2705769539
171,48.1504900455
176,54.7150039673
181,49.6209518909
186,50.4185249805
191,49.7587850094
196,57.5072040558
