clusters,seconds
1,0.260265111923
6,1.22364401817
11,1.87887191772
16,2.89240813255
1,0.168481826782
6,1.11690211296
11,2.03547382355
16,3.02694296837
21,3.68123793602
26,4.94286394119
31,6.49622678757
36,6.4739151001
41,7.53010702133
46,10.362705946
51,11.2009441853
56,14.3292589188
61,15.8996810913
66,15.20966506
71,16.1851220131
76,17.0495698452
81,17.6083080769
86,18.2898008823
91,15.2437448502
96,16.9647982121
101,19.4590790272
106,17.9979629517
111,19.9577741623
116,19.7978191376
121,21.5449120998
126,23.743555069
131,22.1148469448
136,24.5713779926
141,23.6491520405
146,25.1507718563
151,30.8409838676
156,29.7454998493
161,30.5829660892
166,31.8242537975
171,28.6542358398
176,32.582763195
181,34.9062669277
186,34.2336659431
191,34.1495149136
196,36.1463940144
201,38.535889864
206,36.7415468693
211,38.1410028934
216,38.4467451572
221,41.2791910172
226,41.3494160175
231,48.4417998791
236,47.1949951649
241,43.8711819649
246,45.4325158596
251,44.3555009365
256,46.4853758812
261,44.8731930256
266,52.9611859322
271,48.1702167988
276,49.4732692242
281,49.0827710629
286,52.3926818371
291,52.838121891
296,57.4750781059
301,54.1614890099
306,56.1345648766
311,58.6670207977
