samples,clusters,seconds
100,100,0.225130081177
600,100,0.328460931778
1100,100,0.368618011475
1600,100,0.518046140671
2100,100,0.623469829559
2600,100,0.677456855774
3100,100,0.760766029358
3600,100,0.867996931076
4100,100,0.898056983948
4600,100,1.02219295502
5100,100,1.12840986252
100,100,0.248159885406
600,100,0.316709041595
1100,100,0.381371974945
1600,100,0.553717136383
2100,100,0.558782100677
2600,100,0.825837135315
3100,100,0.731666088104
3600,100,0.879155874252
4100,100,1.00525712967
4600,100,1.07475781441
5100,100,1.10881185532
5600,100,1.22779393196
6100,100,1.28989696503
6600,100,1.328592062
7100,100,1.8750641346
7600,100,1.69239616394
8100,100,1.73824286461
8600,100,1.56651902199
9100,100,1.81931304932
9600,100,1.89420318604
10100,100,1.87955880165
10600,100,2.22899389267
11100,100,2.31976389885
11600,100,2.12318110466
12100,100,2.34068202972
12600,100,2.42464590073
13100,100,3.00209498405
13600,100,2.67923498154
14100,100,3.19580006599
14600,100,2.70079898834
15100,100,3.2650179863
15600,100,2.81218981743
16100,100,3.2090909481
16600,100,2.89928889275
17100,100,2.90805101395
17600,100,2.99494600296
18100,100,3.32309603691
18600,100,3.31122612953
19100,100,3.31592988968
19600,100,3.3183619976
20100,100,3.50714421272
20600,100,3.45407009125
21100,100,3.32260107994
21600,100,4.13337206841
22100,100,3.89661693573
22600,100,3.92802786827
23100,100,3.66813898087
23600,100,4.00714802742
24100,100,4.07585906982
24600,100,4.16839909554
25100,100,4.24957919121
25600,100,4.45544290543
26100,100,4.65052890778
26600,100,4.95248889923
27100,100,4.53631496429
27600,100,4.37890815735
28100,100,4.43055200577
28600,100,4.97277116776
29100,100,4.81639409065
29600,100,4.66230607033
30100,100,5.16003799438
30600,100,5.13836503029
31100,100,5.23386597633
31600,100,5.34729099274
32100,100,5.90906786919
32600,100,5.66811704636
33100,100,5.75780200958
33600,100,5.83532595634
34100,100,5.8954911232
34600,100,5.74320197105
35100,100,5.48041391373
35600,100,5.79198884964
36100,100,5.84400486946
36600,100,6.57255887985
37100,100,6.36650300026
37600,100,6.33685398102
38100,100,6.49129605293
38600,100,6.38695597649
39100,100,6.08755493164
39600,100,6.20435380936
40100,100,6.52442407608
40600,100,6.44604682922
41100,100,7.08065795898
41600,100,7.45364403725
42100,100,10.898113966
42600,100,9.1447930336
43100,100,9.93809604645
43600,100,9.22513985634
44100,100,7.78303408623
44600,100,8.01098394394
45100,100,8.20378088951
45600,100,7.75379395485
46100,100,8.209856987
46600,100,9.09629702568
47100,100,8.47425603867
47600,100,9.2405500412
48100,100,8.27931284904
48600,100,10.0198521614
49100,100,9.20142316818
49600,100,8.48964977264
50100,100,8.75633215904
50600,100,9.55835914612
51100,100,8.96908211708
51600,100,9.25051999092
52100,100,10.1014437675
52600,100,9.69290184975
53100,100,9.60501098633
53600,100,9.28526902199
54100,100,10.5763609409
54600,100,10.2251508236
55100,100,9.79784584045
55600,100,9.75184798241
56100,100,9.55153393745
56600,100,9.95239686966
57100,100,10.7770471573
57600,100,9.19067716599
58100,100,11.3012759686
58600,100,10.7478859425
59100,100,10.4604508877
59600,100,10.9204301834
60100,100,11.3015589714
60600,100,12.0615508556
61100,100,11.5576059818
61600,100,11.7159509659
62100,100,10.861634016
62600,100,10.6840200424
63100,100,11.705573082
63600,100,11.4980921745
64100,100,12.6883049011
64600,100,11.4188029766
65100,100,11.7162230015
65600,100,11.5268368721
66100,100,11.2310800552
66600,100,11.1324999332
67100,100,12.9079999924
67600,100,12.7248799801
68100,100,12.388972044
68600,100,12.306910038
69100,100,14.1603469849
69600,100,12.0865030289
70100,100,11.146682024
70600,100,12.797118187
71100,100,13.3170249462
71600,100,14.581248045
72100,100,14.2765879631
72600,100,12.8675069809
73100,100,13.9855129719
73600,100,13.3962359428
74100,100,12.5385599136
74600,100,14.0184700489
75100,100,13.7665522099
75600,100,14.1003799438
76100,100,15.5188128948
76600,100,12.6368048191
77100,100,13.9674890041
77600,100,13.4026839733
78100,100,12.7561068535
78600,100,13.9569101334
79100,100,14.4338569641
79600,100,19.3196668625
80100,100,17.6117310524
80600,100,13.9508829117
81100,100,15.1199707985
81600,100,15.0827958584
82100,100,15.4223780632
82600,100,15.387526989
83100,100,15.3878829479
83600,100,15.2077081203
84100,100,16.0993061066
84600,100,14.7847578526
85100,100,15.0678579807
85600,100,15.292429924
86100,100,15.4336640835
86600,100,16.6510298252
87100,100,16.2740271091
87600,100,15.7399668694
88100,100,15.5702528954
88600,100,15.2534599304
89100,100,16.4416658878
89600,100,17.694532156
90100,100,16.6244561672
90600,100,17.6969261169
91100,100,18.1447429657
91600,100,18.0448980331
92100,100,16.8610320091
92600,100,16.5611209869
93100,100,18.3306179047
93600,100,16.4552640915
94100,100,16.9262068272
94600,100,16.3974988461
95100,100,16.4742319584
95600,100,19.0939838886
96100,100,16.042085886
96600,100,16.8860561848
97100,100,16.918129921
97600,100,17.3627130985
98100,100,17.3807640076
98600,100,18.2020430565
99100,100,19.6262528896
99600,100,20.879776001
